Recipe Title,Recipe URL,Ingredients,Cleaned Title,Cleaned Ingredients
Chicken meatball for nabe (japanese hot pot),https://cookpad.com/eng/recipes/25431062,"Ingredients 20 minutes 1 lb ground chicken about 2in slice of renkon , minced 2 green onions , minced knob ginger, minced 2 garlic cloves , minced 1 egg salt and pepper 1 tsp layu 1 lb ground chicken about 2in slice of renkon , minced 2 green onions , minced knob ginger, minced 2 garlic cloves , minced 1 egg salt and pepper 1 tsp layu",chicken meatball nabe japanese hot pot,chicken renkon green onion knob ginger garlic egg salt pepper layu chicken renkon green onion knob ginger garlic egg salt pepper layu
Perfect Shokupan - White and Fluffy Japanese milk bread,https://cookpad.com/eng/recipes/25325786,Ingredients ok 1 day but only 30 mins hands on 2 Large Rolls For the Yudane 50 gr Bread flour 40 ml Boiling water above (90°C) For the bread 150 ml Full Fat milk - Slightly Warmed (Above room temp) in Microwave 15 gr sugar 1 Tsp dry instant yeast 10 gr Unsalted butter (room temp - MUST UNSALTED) 200 gr Strong Bread flour 2 gr salt For the Yudane 50 gr Bread flour 40 ml Boiling water above (90°C) For the bread 150 ml Full Fat milk - Slightly Warmed (Above room temp) in Microwave 15 gr sugar 1 Tsp dry instant yeast 10 gr Unsalted butter (room temp - MUST UNSALTED) 200 gr Strong Bread flour 2 gr salt,perfect shokupan white fluffy japanese milk bread,ok day hand roll yudane bread flour water bread full fat milk slightly warmed microwave sugar dry yeast unsalted butter must unsalted strong bread flour salt yudane bread flour water bread full fat milk slightly warmed microwave sugar dry yeast unsalted butter must unsalted strong bread flour salt
Spicy Chicken Japanese Curry,https://cookpad.com/eng/recipes/25284017,Ingredients 1 hours 30 mins 10 servings 500 g minced chicken thigh 500 g carrot 500 g yellow onion 50 g butter 50 g vegetables oil 300 ml chicken stock 1250 ml water 50 ml white wine 1 tbsp kosher salt (±10g) 2 tsp fresh white / black pepper (±5g) 2 tbsp garlic powder (±20g) 2 tbsp onion powder (±20g) 1 tsp chili powder (±3g) 2 tbsp beef powder (±20g) 1/2 tbsp granulated sugar (±7g) 12 Golden Curry cube 500 g minced chicken thigh 500 g carrot 500 g yellow onion 50 g butter 50 g vegetables oil 300 ml chicken stock 1250 ml water 50 ml white wine 1 tbsp kosher salt (±10g) 2 tsp fresh white / black pepper (±5g) 2 tbsp garlic powder (±20g) 2 tbsp onion powder (±20g) 1 tsp chili powder (±3g) 2 tbsp beef powder (±20g) 1/2 tbsp granulated sugar (±7g) 12 Golden Curry cube,spicy chicken japanese curry,chicken thigh carrot yellow onion butter vegetable oil chicken stock water white wine kosher salt white black pepper garlic powder onion powder chili powder beef powder granulated sugar golden curry cube chicken thigh carrot yellow onion butter vegetable oil chicken stock water white wine kosher salt white black pepper garlic powder onion powder chili powder beef powder granulated sugar golden curry cube
Steamed Japanese Sweet Potato w/ Instant Pot,https://cookpad.com/eng/recipes/25210496,Ingredients 40 min 3–4 people 2 –4 Japanese sweet potatoes 2 –4 Japanese sweet potatoes,steamed japanese sweet potato instant pot,japanese sweet potato japanese sweet potato
Japanese Hambagu with Herb Mashed Potatoes and Crispy Fries,https://cookpad.com/eng/recipes/25214022,"Ingredients 1 hour 2 servings 20 g Butter (for mashed potatoes) as needed Oil for frying 1 tsp Dried parsley 10 g Butter (for fries ) 1/2 tsp Garlic powder 2 tbsp All-purpose flour 2 tbsp Cornstarch 200 g Frozen French fries 1 tsp Fresh or dried herbs (for mashed potatoes) 50 ml Milk 2 medium (about 300g) Potatoes 300 g Ground beef 1 tbsp Worcestershire sauce (for sauce) 2 tbsp Ketchup (for sauce) 2 tbsp Soy sauce (for sauce) 1/4 tsp Pepper 1/2 tsp Salt 1 tsp Mixed herbs (e.g. parsley , thyme ) 1 tbsp Worcestershire sauce 1 Egg 1/2 onion (about 60g) Caramelized onion 30 g Breadcrumbs 20 g Butter (for mashed potatoes) as needed Oil for frying 1 tsp Dried parsley 10 g Butter (for fries ) 1/2 tsp Garlic powder 2 tbsp All-purpose flour 2 tbsp Cornstarch 200 g Frozen French fries 1 tsp Fresh or dried herbs (for mashed potatoes) 50 ml Milk 2 medium (about 300g) Potatoes 300 g Ground beef 1 tbsp Worcestershire sauce (for sauce) 2 tbsp Ketchup (for sauce) 2 tbsp Soy sauce (for sauce) 1/4 tsp Pepper 1/2 tsp Salt 1 tsp Mixed herbs (e.g. parsley , thyme ) 1 tbsp Worcestershire sauce 1 Egg 1/2 onion (about 60g) Caramelized onion 30 g Breadcrumbs",japanese hambagu herb mashed potato crispy fry,butter potato oil frying parsley butter fry garlic powder flour cornstarch french fry herb potato milk potato beef worcestershire sauce sauce ketchup sauce soy sauce sauce pepper salt mixed herb parsley thyme worcestershire sauce egg onion caramelized onion breadcrumb butter potato oil frying parsley butter fry garlic powder flour cornstarch french fry herb potato milk potato beef worcestershire sauce sauce ketchup sauce soy sauce sauce pepper salt mixed herb parsley thyme worcestershire sauce egg onion caramelized onion breadcrumb
Tsukune (japanese chicken meatballs),https://cookpad.com/eng/recipes/25155937,Ingredients 1 lb ground chicken 5 oz tofu 1 egg white chopped shiso leaves (optional) salt and pepper 2-3 tbsp cornstarch sauce: bachans original sauce OR: 2 tbsp soy sauce 2 tbsp sugar 2 tbsp sake 1 lb ground chicken 5 oz tofu 1 egg white chopped shiso leaves (optional) salt and pepper 2-3 tbsp cornstarch sauce: bachans original sauce OR: 2 tbsp soy sauce 2 tbsp sugar 2 tbsp sake,tsukune japanese chicken meatball,chicken tofu egg white shiso leaf salt pepper cornstarch sauce bachans original sauce soy sauce sugar sake chicken tofu egg white shiso leaf salt pepper cornstarch sauce bachans original sauce soy sauce sugar sake
Japanese yakitori (chicken thigh skewers),https://cookpad.com/eng/recipes/24997517,Ingredients 30 min 2 servings 350 g chicken thighs 6 spring onions 2 dl yakitori sauce 350 g chicken thighs 6 spring onions 2 dl yakitori sauce,japanese yakitori chicken thigh skewer,chicken thigh spring onion dl yakitori sauce chicken thigh spring onion dl yakitori sauce
Gyoza (japanese pan-fried dumplings),https://cookpad.com/eng/recipes/24990641,Ingredients 60-65 gyozas 1/2 pound ground pork 2 tbsp soy sauce 1 tbsp sesame oil 1 tbsp sake 3 cloves garlic 1/2 cup chopped nira ( garlic chives ) 1 cup chopped cabbage 2.5 oz (70 g) pack of zha cai (picked mustard stem) 1 tbsp potato starch 60-65 dumpling wrappers 1/2 pound ground pork 2 tbsp soy sauce 1 tbsp sesame oil 1 tbsp sake 3 cloves garlic 1/2 cup chopped nira ( garlic chives ) 1 cup chopped cabbage 2.5 oz (70 g) pack of zha cai (picked mustard stem) 1 tbsp potato starch 60-65 dumpling wrappers,gyoza japanese pan fried dumpling,gyozas pork soy sauce sesame oil sake garlic nira garlic chive cabbage zha cai picked mustard stem potato starch dumpling wrapper pork soy sauce sesame oil sake garlic nira garlic chive cabbage zha cai picked mustard stem potato starch dumpling wrapper
"Japanese-style pizza with whitebait, chikuwa and leeks",https://cookpad.com/eng/recipes/24773058,"Ingredients 2 people 1 sheet Pizza dough 1 tsp Olive oil （For pizza dough ） 2 Chikuwa 1/2 Leek ( green onion could be used  as a substitution) 1/2 tbsp Shiro dashi (a Japanese broth or soup stock) Shredded cheese 1 pinch Sliced ​​ chili pepper Black pepper 35 g Whitebait ( Shirasu in Japanese. tiny, tender white fish often used in Japanese cooking) 1 sheet Pizza dough 1 tsp Olive oil （For pizza dough ） 2 Chikuwa 1/2 Leek ( green onion could be used  as a substitution) 1/2 tbsp Shiro dashi (a Japanese broth or soup stock) Shredded cheese 1 pinch Sliced ​​ chili pepper Black pepper 35 g Whitebait ( Shirasu in Japanese. tiny, tender white fish often used in Japanese cooking)",japanese style pizza whitebait chikuwa leek,sheet pizza dough olive oil pizza dough chikuwa leek green onion could substitution shiro dashi japanese broth soup stock cheese chili pepper black pepper whitebait shirasu japanese tiny tender white fish often japanese sheet pizza dough olive oil pizza dough chikuwa leek green onion could substitution shiro dashi japanese broth soup stock cheese chili pepper black pepper whitebait shirasu japanese tiny tender white fish often japanese
Japanese-Inspired Veggie Pizza with Tofu Cottage Cheese,https://cookpad.com/eng/recipes/24769889,Ingredients 1hr（Including making dough） 🫓 Pizza Base 1 sheet Pizza dough “ Shrimp Mayo Pizza (+ Pizza Dough “ 🍅 Tomato Sauce (Quick Version) Mix all ingredients in a bowl. No cooking needed! 100 ml Canned crushed tomatoes 1/2 tsp Miso paste 1 tsp Basil koji or dried basil 1 pinch Salt to taste Garlic (grated or paste) 🍆 Toppings Broccoli florets – a few pieces Eggplant (sliced) – 3–4 slices Cherry tomatoes – a few Kabocha (Japanese pumpkin ) or sweet potato （sliced）– thin Lotus root (sliced）– optional 1 tsp Olive oil （For dressing vegetables ） Black olives – sliced Deep- fried tofu (abura-age) – cut into small squares Tofu “Cottage Cheese” 🧀 Tofu “Cottage Cheese” Baby greens or sprouts – for garnish Mitsuba or parsley – for freshness 🫓 Pizza Base 1 sheet Pizza dough “ Shrimp Mayo Pizza (+ Pizza Dough “ 🍅 Tomato Sauce (Quick Version) Mix all ingredients in a bowl. No cooking needed! 100 ml Canned crushed tomatoes 1/2 tsp Miso paste 1 tsp Basil koji or dried basil 1 pinch Salt to taste Garlic (grated or paste) 🍆 Toppings Broccoli florets – a few pieces Eggplant (sliced) – 3–4 slices Cherry tomatoes – a few Kabocha (Japanese pumpkin ) or sweet potato （sliced）– thin Lotus root (sliced）– optional 1 tsp Olive oil （For dressing vegetables ） Black olives – sliced Deep- fried tofu (abura-age) – cut into small squares Tofu “Cottage Cheese” 🧀 Tofu “Cottage Cheese” Baby greens or sprouts – for garnish Mitsuba or parsley – for freshness,japanese inspired veggie pizza tofu cottage cheese,including making dough pizza sheet pizza dough shrimp mayo pizza pizza dough tomato sauce quick version mix bowl canned tomato miso paste basil koji basil salt garlic paste broccoli floret eggplant cherry tomato kabocha japanese pumpkin sweet potato lotus root olive oil dressing vegetable black olive deep tofu abura age square tofu cottage cheese tofu cottage cheese baby green sprout mitsuba parsley freshness pizza sheet pizza dough shrimp mayo pizza pizza dough tomato sauce quick version mix bowl canned tomato miso paste basil koji basil salt garlic paste broccoli floret eggplant cherry tomato kabocha japanese pumpkin sweet potato lotus root olive oil dressing vegetable black olive deep tofu abura age square tofu cottage cheese tofu cottage cheese baby green sprout mitsuba parsley freshness
